message_id,EN,JP,VN
LAYOUT_TEXT_1,,,
LAYOUT_TEXT_2,home,ホーム,Trang chủ
LAYOUT_TEXT_3,recruit,採用情報,Tuyển dụng
LAYOUT_TEXT_4,product,プロダクト,Sản phẩm
LAYOUT_TEXT_5,staff,スタッフ,Nhân viên
LAYOUT_TEXT_6,company profile,会社情報,Giới thiệu
LAYOUT_TEXT_7,,,
LAYOUT_TEXT_8,contact us,お問い合わせ,Liên hệ
LAYOUT_TEXT_9,access,アクセス,Địa chỉ
LAYOUT_TEXT_10,LANGUAGES,LANGUAGES,LANGUAGES
LAYOUT_TEXT_10_1,English,English,English
LAYOUT_TEXT_10_2,Tiếng Việt,Tiếng Việt,Tiếng Việt
LAYOUT_TEXT_10_3,日本語,日本語,日本語
LAYOUT_TEXT_11,,,
LAYOUT_TEXT_12,sitemap,サイトマップ,Sơ đồ
LAYOUT_TEXT_13,home,ホーム,Trang chủ
LAYOUT_TEXT_14,recruit,採用情報,Tuyển dụng
LAYOUT_TEXT_15,product,プロダクト,Sản phẩm
LAYOUT_TEXT_16,staff,スタッフ,Nhân viên
LAYOUT_TEXT_17,company profile,会社情報,Giới thiệu
LAYOUT_TEXT_18,contact us,お問い合わせ,Liên hệ
LAYOUT_TEXT_19,access,アクセス,Địa chỉ
LAYOUT_TEXT_20,admin,管理,Quản lý
LAYOUT_TEXT_21,contact us,お問い合わせ,Liên hệ
LAYOUT_TEXT_22,"241 Xuân Thuỷ, Cầu Giấy, Hà Nội, Việt Nam","241 Xuân Thuỷ, Cầu Giấy, Hà Nội, Việt Nam","241 Xuân Thuỷ, Cầu Giấy, Hà Nội, Việt Nam"
LAYOUT_TEXT_23,＋84-(0)4-3256-0182,＋84-(0)4-3256-0182,＋84-(0)4-3256-0182
LAYOUT_TEXT_24,www.tmh-techlab.vn,www.tmh-techlab.vn,www.tmh-techlab.vn
LAYOUT_TEXT_25,info@tmh-techlab.vn,info@tmh-techlab.vn,info@tmh-techlab.vn
LAYOUT_TEXT_26,,,
LAYOUT_TEXT_27,"Copyright©Tribal Media House Technology Lab Co., Ltd. All rights reserved","Copyright©Tribal Media House Technology Lab Co., Ltd. All rights reserved","Copyright©Tribal Media House Technology Lab Co., Ltd. All rights reserved"
LAYOUT_TEXT_28,,,
